$Date,$Time,P21P303A_IFASE_A,P21P303A_VOLT_AB,P21P303B_IFASE_A,P21P303B_VOLT_AB,P21P303C_IFASE_A,P21P303C_VOLT_AB
12/02/2023,13:24:01,0,4145,130,4175,0,0
12/02/2023,13:44:10,0,4149,130,4179,0,9
12/02/2023,14:04:20,0,4134,130,4170,0,0
12/02/2023,14:24:30,0,4144,131,4172,0,7
12/02/2023,14:44:39,0,4143,130,4174,0,4
12/02/2023,15:04:49,0,4148,131,4176,0,3
12/02/2023,15:24:58,0,4146,131,4180,0,4
12/02/2023,15:45:08,0,4141,131,4174,0,4
12/02/2023,16:05:18,0,4146,130,4183,0,0
12/02/2023,16:25:27,0,4146,131,4173,0,8
12/02/2023,16:45:37,0,4148,131,4179,0,7
12/02/2023,17:05:46,0,4145,130,4182,0,5
12/02/2023,17:25:56,0,4150,131,4173,0,5
12/02/2023,17:46:06,0,4145,131,4174,0,8
12/02/2023,18:06:15,0,4144,131,4173,0,4
12/02/2023,18:26:25,0,4133,131,4172,0,6
12/02/2023,18:46:34,0,4136,131,4183,0,6
12/02/2023,19:06:44,0,4148,131,4176,0,1
12/02/2023,19:26:54,0,4131,131,4176,0,3
12/02/2023,19:47:03,0,4130,130,4174,0,1
12/02/2023,20:07:13,0,4145,130,4181,0,3
12/02/2023,20:27:22,0,4146,131,4182,0,9
12/02/2023,20:47:32,0,4133,131,4179,0,1
12/02/2023,21:07:42,0,4144,131,4173,0,1
12/02/2023,21:27:51,0,4148,131,4172,0,9
12/02/2023,21:48:01,0,4142,131,4173,0,1
12/02/2023,22:08:10,0,4142,131,4175,0,4
12/02/2023,22:28:20,0,4135,131,4179,0,2
12/02/2023,22:48:30,0,4133,131,4180,0,1
12/02/2023,23:08:39,0,4148,131,4172,0,2
12/02/2023,23:28:49,0,4133,131,4174,0,2
12/02/2023,23:48:58,0,4147,131,4178,0,6
12/03/2023,00:09:08,0,0,131,0,0,0
12/03/2023,00:29:18,0,4134,131,4173,0,5
12/03/2023,00:49:27,0,4148,131,4180,0,4
12/03/2023,01:09:37,0,4138,131,4182,0,3
12/03/2023,01:29:46,0,4136,131,4185,0,6
12/03/2023,01:49:56,0,4151,130,4183,0,4
12/03/2023,02:10:06,0,4136,131,4183,0,9
12/03/2023,02:30:15,0,4148,130,4175,0,2
12/03/2023,02:50:25,0,4133,131,4173,0,9
12/03/2023,03:10:34,0,4133,131,4171,0,7
12/03/2023,03:30:44,0,4146,131,4171,0,6
12/03/2023,03:50:54,0,4139,131,4173,0,5
12/03/2023,04:11:03,0,4150,131,4177,0,4
12/03/2023,04:31:13,0,4134,131,4175,0,9
12/03/2023,04:51:22,0,4139,131,4174,0,2
12/03/2023,05:11:32,0,4134,131,4172,0,4
12/03/2023,05:31:42,0,4147,131,4177,0,3
12/03/2023,05:51:51,0,4140,131,4177,0,2
12/03/2023,06:12:01,0,4134,131,4176,0,2
12/03/2023,06:32:10,0,4148,131,4175,0,8
12/03/2023,06:52:20,0,4147,131,4176,0,4
12/03/2023,07:12:30,0,4152,131,4183,0,9
12/03/2023,07:32:39,0,4149,130,4175,0,2
12/03/2023,07:52:49,0,4148,130,4172,0,0
12/03/2023,08:12:58,0,4149,130,4178,0,4
12/03/2023,08:33:08,0,4132,130,4174,0,6
12/03/2023,08:53:18,0,4147,130,4174,0,2
12/03/2023,09:13:27,0,4146,130,4172,0,2
12/03/2023,09:33:37,0,4143,130,4169,0,1
12/03/2023,09:53:46,0,4150,130,4170,0,9
12/03/2023,10:13:56,0,4143,129,4172,0,4
12/03/2023,10:34:06,0,4134,130,4171,0,1
12/03/2023,10:54:15,0,4135,130,4167,0,2
12/03/2023,11:14:25,0,4145,130,4174,0,2
12/03/2023,11:34:34,0,4131,129,4172,0,3
12/03/2023,11:54:44,0,4134,130,4171,0,0
12/03/2023,12:14:54,0,4134,130,4175,0,7
12/03/2023,12:35:03,0,4139,130,4177,0,6
12/03/2023,12:55:13,0,4148,130,4181,0,4
12/03/2023,13:15:22,0,4134,129,4173,0,7
12/03/2023,13:35:32,0,4134,130,4180,0,4
12/03/2023,13:55:42,0,4136,130,4183,0,0
12/03/2023,14:15:51,0,4132,130,4181,0,2
12/03/2023,14:36:01,0,4143,130,4173,0,1
12/03/2023,14:56:10,0,4131,130,4172,0,6
12/03/2023,15:16:20,0,4142,131,4174,0,1
12/03/2023,15:36:30,0,4145,130,4175,0,9
12/03/2023,15:56:39,0,4146,130,4174,0,3
12/03/2023,16:16:49,0,4145,130,4183,0,9
12/03/2023,16:36:58,0,4150,130,4183,0,6
12/03/2023,16:57:08,0,4134,131,4182,0,7
12/03/2023,17:17:18,0,4134,130,4174,0,4
12/03/2023,17:37:27,0,4132,130,4174,0,1
12/03/2023,17:57:37,0,4144,130,4180,0,8
12/03/2023,18:17:46,0,4144,131,4177,0,2
12/03/2023,18:37:56,0,4133,131,4172,0,4
12/03/2023,18:58:06,0,4143,131,4176,0,5
12/03/2023,19:18:15,0,4145,131,4177,0,0
12/03/2023,19:38:25,0,4133,130,4175,0,4
12/03/2023,19:58:34,0,4131,131,4180,0,4
12/03/2023,20:18:44,0,4134,130,4180,0,3
12/03/2023,20:38:54,0,4132,130,4181,0,4
12/03/2023,20:59:03,0,4135,131,4172,0,6
12/03/2023,21:19:13,0,4143,130,4175,0,7
12/03/2023,21:39:22,0,4146,130,4181,0,1
12/03/2023,21:59:32,0,4148,130,4183,0,6
12/03/2023,22:19:42,0,4133,130,4183,0,7
12/03/2023,22:39:51,0,4150,131,4175,0,1
12/03/2023,23:00:01,0,4145,131,4184,0,1
12/03/2023,23:20:10,0,4145,130,4183,0,8
12/03/2023,23:40:20,0,4135,131,4182,0,5
