$Date;$Time;P21P303A_IFASE_A;P21P303A_VOLT_AB;P21P303B_IFASE_A;P21P303B_VOLT_AB;P21P303C_IFASE_A;P21P303C_VOLT_AB
11/01/2023;16:10:33;0;4144;132;4180;0;7
11/01/2023;16:30:43;0;4148;132;4179;0;1
11/01/2023;16:50:52;0;4143;132;4180;0;1
11/01/2023;17:11:02;0;4147;132;4175;0;4
11/01/2023;17:31:12;0;4136;132;4176;0;4
11/01/2023;17:51:21;0;4148;132;4172;0;8
11/01/2023;18:11:31;0;4144;132;4171;0;1
11/01/2023;18:31:40;0;4144;132;4181;0;5
11/01/2023;18:51:50;0;4144;132;4181;0;5
11/01/2023;19:12:00;0;4147;132;4182;0;1
11/01/2023;19:32:09;0;4141;132;4173;0;2
11/01/2023;19:52:19;0;4148;132;4175;0;2
11/01/2023;20:12:28;0;4138;132;4174;0;3
11/01/2023;20:32:38;0;4140;133;4174;0;9
11/01/2023;20:52:48;0;4140;132;4182;0;0
11/01/2023;21:12:57;0;4153;132;4174;0;10
11/01/2023;21:33:07;0;4133;133;4172;0;6
11/01/2023;21:53:16;0;4145;132;4181;0;9
11/01/2023;22:13:26;0;4138;132;4171;0;3
11/01/2023;22:33:36;0;4132;132;4172;0;2
11/01/2023;22:53:45;0;4141;132;4178;0;2
11/01/2023;23:13:55;0;4148;132;4175;0;9
11/01/2023;23:34:04;0;4147;132;4176;0;1
11/01/2023;23:54:14;0;4146;132;4171;0;2
11/02/2023;0:14:24;0;4145;133;4184;0;3
11/02/2023;0:34:33;0;4146;132;4172;0;4
11/02/2023;0:54:43;0;4145;133;4173;0;2
11/02/2023;1:14:52;0;4132;132;4171;0;3
11/02/2023;1:35:02;0;4134;133;4184;0;6
11/02/2023;1:55:12;0;4133;132;4185;0;7
11/02/2023;2:15:21;0;4134;132;4173;0;9
11/02/2023;2:35:31;0;4137;132;4181;0;2
11/02/2023;2:55:40;0;4150;132;4177;0;0
11/02/2023;3:15:50;0;4145;132;4172;0;5
11/02/2023;3:36:00;0;4145;132;4174;0;3
11/02/2023;3:56:09;0;4143;132;4183;0;6
11/02/2023;4:16:19;0;4147;132;4174;0;6
11/02/2023;4:36:28;0;4131;132;4174;0;4
11/02/2023;4:56:38;0;4133;132;4174;0;4
11/02/2023;5:16:48;0;4144;132;4176;0;0
11/02/2023;5:36:57;0;4144;132;4184;0;3
11/02/2023;5:57:07;0;4151;132;4175;0;0
11/02/2023;6:17:16;0;4133;132;4174;0;7
11/02/2023;6:37:26;0;4138;133;4173;0;8
11/02/2023;6:57:36;0;4146;132;4170;0;8
11/02/2023;7:17:45;0;4144;132;4183;0;4
11/02/2023;7:37:55;0;4131;132;4175;0;1
11/02/2023;7:58:04;0;4147;132;4173;0;5
11/02/2023;8:18:14;0;4133;131;4182;0;6
11/02/2023;8:38:24;0;4144;131;4184;0;0
11/02/2023;8:58:33;0;4148;131;4183;0;0
11/02/2023;9:18:43;0;4131;132;4181;0;3
11/02/2023;9:38:52;0;4140;132;4175;0;3
11/02/2023;9:59:02;0;4144;132;4180;0;3
11/02/2023;10:19:12;0;4149;131;4169;0;2
11/02/2023;10:39:21;0;4131;131;4173;0;3
11/02/2023;10:59:31;0;4143;132;4170;0;9
11/02/2023;11:19:40;0;4131;132;4179;0;4
11/02/2023;11:39:50;0;4131;131;4168;0;1
11/02/2023;12:00:00;0;4149;132;4179;0;1
11/02/2023;12:20:09;0;4130;132;4174;0;2
11/02/2023;12:40:19;0;0;0;0;0;0
11/02/2023;13:00:28;0;0;0;0;0;0
11/02/2023;13:20:38;0;0;0;0;0;0
11/02/2023;13:40:48;0;0;0;0;0;0
11/02/2023;14:00:57;0;0;0;0;0;0
11/02/2023;14:21:07;0;0;0;0;0;0
11/02/2023;14:41:16;0;0;0;0;0;0
11/02/2023;15:01:26;0;0;0;0;0;0
11/02/2023;15:21:36;0;0;0;0;0;0
11/02/2023;15:41:45;0;0;0;0;0;0
11/02/2023;16:01:55;0;0;0;0;0;0
11/02/2023;16:22:04;0;0;0;0;0;0
11/02/2023;16:42:14;0;0;0;0;0;0
11/02/2023;17:02:24;0;0;0;0;0;0
11/02/2023;17:22:33;0;0;0;0;0;0
11/02/2023;17:42:43;0;0;0;0;0;0
11/02/2023;18:02:52;0;0;0;0;0;0
11/02/2023;18:23:02;0;0;0;0;0;0
11/02/2023;18:43:12;0;0;0;0;0;0
11/02/2023;19:03:21;0;0;0;0;0;0
11/02/2023;19:23:31;0;0;0;0;0;0
11/02/2023;19:43:40;0;0;0;0;0;0
11/02/2023;20:03:50;0;0;0;0;0;0
11/02/2023;20:24:00;0;0;0;0;0;0
11/02/2023;20:44:09;0;0;0;0;0;0
11/02/2023;21:04:19;0;0;0;0;0;0
11/02/2023;21:24:28;0;0;0;0;0;0
11/02/2023;21:44:38;0;0;0;0;0;0
11/02/2023;22:04:48;0;0;0;0;0;0
11/02/2023;22:24:57;0;0;0;0;0;0
11/02/2023;22:45:07;0;0;0;0;0;0
11/02/2023;23:05:16;0;0;0;0;0;0
11/02/2023;23:25:26;0;0;0;0;0;0
11/02/2023;23:45:36;0;0;0;0;0;0
11/03/2023;0:05:45;0;0;0;0;0;0
11/03/2023;0:25:55;0;0;0;0;0;0
11/03/2023;0:46:04;0;0;0;0;0;0
11/03/2023;1:06:14;0;0;0;0;0;0
11/03/2023;1:26:24;0;0;0;0;0;0
11/03/2023;1:46:33;0;0;0;0;0;0
11/03/2023;2:06:43;0;0;0;0;0;0
11/03/2023;2:26:52;0;0;0;0;0;0
11/03/2023;2:47:02;0;0;0;0;0;0
11/03/2023;3:07:12;0;0;0;0;0;0
11/03/2023;3:27:21;0;0;0;0;0;0
11/03/2023;3:47:31;0;0;0;0;0;0
11/03/2023;4:07:40;0;0;0;0;0;0
11/03/2023;4:27:50;0;0;0;0;0;0
11/03/2023;4:48:00;0;0;0;0;0;0
11/03/2023;5:08:09;0;0;0;0;0;0
11/03/2023;5:28:19;0;0;0;0;0;0
11/03/2023;5:48:28;0;0;0;0;0;0
11/03/2023;6:08:38;0;0;0;0;0;0
11/03/2023;6:28:48;0;0;0;0;0;0
11/03/2023;6:48:57;0;0;0;0;0;0
11/03/2023;7:09:07;0;0;0;0;0;0
11/03/2023;7:29:16;0;0;0;0;0;0
11/03/2023;7:49:26;0;0;0;0;0;0
11/03/2023;8:09:36;0;0;0;0;0;0
11/03/2023;8:29:45;0;0;0;0;0;0
11/03/2023;8:49:55;0;0;0;0;0;0
11/03/2023;9:10:04;0;0;0;0;0;0
11/03/2023;9:30:14;0;0;0;0;0;0
11/03/2023;9:50:24;0;0;0;0;0;0
11/03/2023;10:10:33;0;0;0;0;0;0
11/03/2023;10:30:43;0;0;0;0;0;0
11/03/2023;10:50:52;0;0;0;0;0;0
11/03/2023;11:11:02;0;0;0;0;0;0
11/03/2023;11:31:12;0;0;0;0;0;0
11/03/2023;11:51:21;0;0;0;0;0;0
11/03/2023;12:11:31;0;0;0;0;0;0
11/03/2023;12:31:40;0;0;0;0;0;0
11/03/2023;12:51:50;0;0;0;0;0;0
11/03/2023;13:12:00;0;0;0;0;0;0
11/03/2023;13:32:09;0;0;0;0;0;0
11/03/2023;13:52:19;0;0;0;0;0;0
11/03/2023;14:12:28;0;0;0;0;0;0
11/03/2023;14:32:38;0;0;0;0;0;0
11/03/2023;14:52:48;0;0;0;0;0;0
11/03/2023;15:12:57;0;0;0;0;0;0
11/03/2023;15:33:07;0;0;0;0;0;0
11/03/2023;15:53:16;0;0;0;0;0;0
11/03/2023;16:13:26;0;0;0;0;0;0
11/03/2023;16:33:36;0;0;0;0;0;0
11/03/2023;16:53:45;0;0;0;0;0;0
11/03/2023;17:13:55;0;0;0;0;0;0
11/03/2023;17:34:04;0;0;0;0;0;0
11/03/2023;17:54:14;0;0;0;0;0;0
11/03/2023;18:14:24;0;0;0;0;0;0
11/03/2023;18:34:33;0;0;0;0;0;0
11/03/2023;18:54:43;0;0;0;0;0;0
11/03/2023;19:14:52;0;0;0;0;0;0
11/03/2023;19:35:02;0;0;0;0;0;0
11/03/2023;19:55:12;0;0;0;0;0;0
11/03/2023;20:15:21;0;0;0;0;0;0
11/03/2023;20:35:31;0;0;0;0;0;0
11/03/2023;20:55:40;0;0;0;0;0;0
11/03/2023;21:15:50;0;0;0;0;0;0
11/03/2023;21:36:00;0;0;0;0;0;0
11/03/2023;21:56:09;0;0;0;0;0;0
11/03/2023;22:16:19;0;0;0;0;0;0
11/03/2023;22:36:28;0;0;0;0;0;0
11/03/2023;22:56:38;0;0;0;0;0;0
11/03/2023;23:16:48;0;0;0;0;0;0
11/03/2023;23:36:57;0;0;0;0;0;0
11/03/2023;23:57:07;0;0;0;0;0;0
11/04/2023;0:17:16;0;0;0;0;0;0
11/04/2023;0:37:26;0;0;0;0;0;0
11/04/2023;0:57:36;0;0;0;0;0;0
11/04/2023;1:17:45;0;0;0;0;0;0
11/04/2023;1:37:55;0;0;0;0;0;0
11/04/2023;1:58:04;0;0;0;0;0;0
11/04/2023;2:18:14;0;0;0;0;0;0
11/04/2023;2:38:24;0;0;0;0;0;0
